geonames_id,lat,lat-lon,lon,place_name
3430787.0,-34.66667,"-34.66667,-58.5",-58.5,Mataderos
3432039.0,-35.0,"-35,-58",-58.0,Partido de La Plata
3431333.0,-34.64286,"-34.64286,-58.52386",-58.52386,Liniers
3435548.0,-38.0026256,"-38.0026256,-57.5494468",-57.5494468,
3433657.0,-33.25,"-33.25,-59",-59.0,Departamento de Gualeguaychú
3430511.0,-34.53021,"-34.53021,-58.52421",-58.52421,Munro
3436077.0,-34.5627,"-34.5627,-58.45829",-58.45829,Belgrano
3838574.0,-33.16667,"-33.16667,-60.75",-60.75,Rosario Department
3860259.0,-31.4135,"-31.4135,-64.18105",-64.18105,Córdoba
3430813.0,-34.49397,"-34.49397,-58.51679",-58.51679,Martínez
3430234.0,-34.58856,"-34.58856,-58.43053",-58.43053,Palermo
3436061.0,-34.5651,"-34.5651,-58.69034",-58.69034,Bella Vista
3427753.0,-34.42058,"-34.42058,-58.58279",-58.58279,Partido de Tigre
3832729.0,-31.03333,"-31.03333,-64.48333",-64.48333,Villa Giardino
3433780.0,-34.66667,"-34.66667,-59",-59.0,Partido de General Rodríguez
3435607.0,-34.65183,"-34.65183,-58.63963",-58.63963,Castelar
3433918.0,-34.62997,"-34.62997,-58.46329",-58.46329,Flores
3429979.0,-34.41667,"-34.41667,-58.83333",-58.83333,Partido de Pilar
3436003.0,-34.63333,"-34.63333,-58.41667",-58.41667,Boedo
3845202.0,-31.46467,"-31.46467,-64.3584",-64.3584,Malagueño
3435087.0,-34.45082,"-34.45082,-58.79769",-58.79769,Del Viso
3832791.0,-31.42414,"-31.42414,-64.49778",-64.49778,Villa Carlos Paz
3429760.0,-34.60944,"-34.60944,-58.36186",-58.36186,Puerto Madero
6693228.0,-34.61032,"-34.61032,-58.39766",-58.39766,Balvanera
3434130.0,-34.33333,"-34.33333,-58.75",-58.75,Partido de Escobar
3428983.0,-34.49009,"-34.49009,-58.53028",-58.53028,Partido de San Isidro
3435874.0,-34.62264,"-34.62264,-58.44104",-58.44104,Caballito
3436508.0,-34.47706,"-34.47706,-58.50177",-58.50177,Acassuso
3430348.0,-34.54955,"-34.54955,-58.46684",-58.46684,Núñez
3436042.0,-34.83333,"-34.83333,-58.16667",-58.16667,Partido de Berazategui
3433359.0,-34.65803,"-34.65803,-58.66317",-58.66317,Ituzaingó
3430863.0,-38.00042,"-38.00042,-57.5562",-57.5562,Mar del Plata
3429886.0,-27.36708,"-27.36708,-55.89608",-55.89608,Posadas
3862356.0,-36.59806,"-36.59806,-61.74306",-61.74306,Partido de Daireaux
3429228.0,-36.69733,"-36.69733,-56.68293",-56.68293,San Bernardo del Tuyú
3428113.0,-34.62,"-34.62,-58.37122",-58.37122,San Telmo
3436397.0,-34.60926,"-34.60926,-58.42006",-58.42006,Almagro
3433955.0,-34.6,"-34.6,-58.45",-58.45,Ciudad Autónoma de Buenos Aires
3427500.0,-34.45505,"-34.45505,-58.54614",-58.54614,Victoria
3429971.0,-37.10795,"-37.10795,-56.8614",-56.8614,Pinamar
3436048.0,-34.40887,"-34.40887,-58.68596",-58.68596,Benavídez
3436080.0,-34.46312,"-34.46312,-58.53481",-58.53481,Beccar
3435351.0,-32.00382,"-32.00382,-58.36319",-58.36319,Departamento de Colón
3430982.0,-34.58333,"-34.58333,-59.16667",-59.16667,Partido de Luján
3837090.0,-33.0,"-33,-61",-61.0,Departamento de San Lorenzo
3435907.0,-36.0,"-36,-60",-60.0,Buenos Aires
3431273.0,-34.66484,"-34.66484,-58.53196",-58.53196,Lomas del Mirador
3839996.0,-31.16667,"-31.16667,-64.66667",-64.66667,Departamento de Punilla
3427431.0,-37.26394,"-37.26394,-56.97304",-56.97304,Villa Gesell
3436152.0,-34.74572,"-34.74572,-58.39192",-58.39192,Banfield
3433323.0,-34.53382,"-34.53382,-58.5758",-58.5758,José León Suárez
3838233.0,-24.7859,"-24.7859,-65.41166",-65.41166,Salta
3430310.0,-34.50747,"-34.50747,-58.48703",-58.48703,Olivos
3836277.0,-31.64881,"-31.64881,-60.70868",-60.70868,Santa Fe
3435356.0,-34.57365,"-34.57365,-58.44924",-58.44924,Colegiales
3433977.0,-34.25,"-34.25,-59.25",-59.25,Partido de Exaltación de la Cruz
3433910.0,-34.62784,"-34.62784,-58.48087",-58.48087,Floresta
3856531.0,-23.16667,"-23.16667,-62.9",-62.9,El Talar
3429651.0,-34.75,"-34.75,-58.25",-58.25,Partido de Quilmes
3429594.0,-29.15,"-29.15,-59.65",-59.65,Reconquista
3860360.0,-38.83333,"-38.83333,-68.83333",-68.83333,Departamento de Confluencia
3855061.0,-38.5,"-38.5,-67.5",-67.5,Departamento de General Roca
3436109.0,-34.58333,"-34.58333,-58.4",-58.4,Barrio Norte
3856226.0,-31.05855,"-31.05855,-60.74581",-60.74581,Emilia
3436079.0,-34.34833,"-34.34833,-58.79265",-58.79265,Belén de Escobar
3436134.0,-34.64966,"-34.64966,-58.38341",-58.38341,Barracas
3429316.0,-34.56382,"-34.56382,-58.54297",-58.54297,San Andrés
3427463.0,-34.58572,"-34.58572,-58.57705",-58.57705,Villa Bosch
3832815.0,-31.29458,"-31.29458,-64.29538",-64.29538,Villa Allende
3429418.0,-34.60052,"-34.60052,-58.53008",-58.53008,Sáenz Peña
3434158.0,-35.15,"-35.15,-59.08333",-59.08333,Empalme Lobos
3429617.0,-34.6551,"-34.6551,-58.55318",-58.55318,Ramos Mejía
3836951.0,-40.15789,"-40.15789,-71.35337",-71.35337,San Martín de los Andes
3429595.0,-34.5887,"-34.5887,-58.39723",-58.39723,Recoleta
3836276.0,-31.0,"-31,-61",-61.0,Santa Fe Province
3435259.0,-34.60948,"-34.60948,-58.39225",-58.39225,Congreso
3427458.0,-34.60001,"-34.60001,-58.44735",-58.44735,Villa Crespo
3435506.0,-34.58701,"-34.58701,-58.4525",-58.4525,Chacarita
3435257.0,-34.62593,"-34.62593,-58.38633",-58.38633,Constitución
3433775.0,-34.56667,"-34.56667,-58.48333",-58.48333,Villa Urquiza
3832899.0,-40.81345,"-40.81345,-62.99668",-62.99668,Viedma
3844377.0,-32.34288,"-32.34288,-65.01396",-65.01396,Merlo
3429902.0,-34.74785,"-34.74785,-58.70072",-58.70072,Pontevedra
3429422.0,-34.54969,"-34.54969,-58.48572",-58.48572,Saavedra
3430570.0,-34.61237,"-34.61237,-58.38341",-58.38341,Montserrat
3835793.0,-31.66274,"-31.66274,-60.7653",-60.7653,Santo Tomé
3430387.0,-34.64952,"-34.64952,-58.41671",-58.41671,Nueva Pompeya
