popularity,id,name,artista
3,6P2ASfulOSI36CaEjl97K4,"Gigue (Violin Partita in D Minor, BWV 1004)",Johann Sebastian Bach
1,0GqWuJNd1pclQxdoDUZOLK,"Suite in G Minor, BWV 995: II. Allemande",Johann Sebastian Bach
0,0WsaN1OEj5T3NfoLlv1FFe,"French Suite No. 2 in C Minor, BWV 813: I. Allemande",Johann Sebastian Bach
2,2TnO3SQjOgUtTDEJ9B0tg6,"Cello Suite No. 1 in G Major, BWV 1007: I. Prelude",Johann Sebastian Bach
0,4mUey0o1o5Pz1hqh6HXRZW,"The Well-Tempered Clavier, Book II: Fuga in F minor, BWV 881",Johann Sebastian Bach
1,2iAHNGyeBhd2JAksiqvlWp,"Cello Suite No. 5 in C Minor, BWV 1011: IV. Sarabande",Johann Sebastian Bach
1,4ZowFnZEddjI9wDXMBtgpq,"Suite in E Minor, BWV 996 (Arr. for Lute): V. Bourrée",Johann Sebastian Bach
0,0Y6x3QDLHvQWbdMMLSI3x6,"Flute Sonata in E-Flat Major, BWV 1031: III. Allegro",Johann Sebastian Bach
1,33dENlsWePLHDsvqid59ED,"Suite in G Minor, BWV 995: IV. Sarabande",Johann Sebastian Bach
1,5jiBQwPHhwT2j0fZxVqtbq,"Violin Partita No. 2 in D Minor, BWV 1004: V. Chaconne",Johann Sebastian Bach
1,7G7BkRCULdYGiWBSJDHt4y,"Suite in E Major, BWV 1006a: III. Gavotte en rondeau",Johann Sebastian Bach
0,7uE6HAkIiozbB0gT0FcHBR,"Partita in B-Flat Major, BWV 825: I. Prelude",Johann Sebastian Bach
0,2FmsKUgKb6QcJwvk7tXEbu,"Partita in B-Flat Major, BWV 825: III. Courante",Johann Sebastian Bach
0,3tO55JhQ4F7wEbUcxLaDH3,"Flute Sonata in E-Flat Major, BWV 1031: II. Siciliano",Johann Sebastian Bach
2,3uup6hdf1slA5nXQmhgqgL,"Sarabande (Flute Partita in a Minor, BWV 1013)",Johann Sebastian Bach
0,5ImqMJNqEpvE3mAjyAM14g,"The Well-Tempered Clavier, Book II: Prelude in F Minor, BWV 881",Johann Sebastian Bach
0,5JEsd73SYOY4V0hyWzNoPH,"French Suite No. 2 in C Minor, BWV 813: II. Courante",Johann Sebastian Bach
1,1SIuFwakuNKw1IgsAdExGV,"Concerto for 2 Violins in D Minor, BWV 1043 (Arr. for Mandolin Orchestra): I. Vivace",Johann Sebastian Bach
1,1jvFyKsrLXQcu67xmZjKlu,"Suite in G Minor, BWV 995: III. Courante",Johann Sebastian Bach
0,1mYL3cLBCRfhQWOn83W3sP,"Prelude and Fugue in C-Sharp Minor, BWV 873",Johann Sebastian Bach
0,1qm3zQBNTSvc1PuHaEPJyI,"French Suite No. 2 in C Minor, BWV 813: III. Sarabande",Johann Sebastian Bach
0,1ZuplqwcuvBWQAuiT19FMu,"Partita in E Minor, BWV 830: II. Allemande",Johann Sebastian Bach
0,5e2UwUpeQEkVQgs5astewO,"Partita in E Minor, BWV 830: III. Courante",Johann Sebastian Bach
0,6uV5YK6j9JyPlERkGwL8Az,"Invention in C Minor, BWV 773",Johann Sebastian Bach
1,7CDAigiNP8EN4lPx0YBIDt,"Violin Partita No. 1 in B Minor, BWV 1002 (Arr. V. Hoh for Guitar): VII. Tempo di bourrée",Johann Sebastian Bach
2,23nLI0SO7nVXYgvAJj95rU,"Cello Suite No. 5 in C Minor, BWV 1011: I. Prelude",Johann Sebastian Bach
0,48nXjJwGqNwaqg1F7qYFAD,"The Well-Tempered Clavier, Book 1: Prelude No. 1 en Ut, BWV 846",Johann Sebastian Bach
2,5i85nbkIf7ATv7gSjO9FO0,"Italian Concerto, Op. 2, BWV 971 (Arr. for Mandolin & Guitar): I. Allegro",Johann Sebastian Bach
1,6twNYjEBITd70iijWEqnQ5,"Prelude and Fugue No. 1 in C Major, BWV 846: I. Prelude",Johann Sebastian Bach
0,0KEQzOVUFwOjebhZyWWuir,"Partita in E Minor, BWV 830: I. Toccata",Johann Sebastian Bach
0,1vNowvJdYZGYN7qvTub8Q6,"Seht, wir gehn hinauf gen Jerusalem, BWV 159",Johann Sebastian Bach
0,4Dwrhkl1TbuzA42LLcdpMA,"Lute Suite in G Minor, BWV 995: III. Courante",Johann Sebastian Bach
1,5bTRYwR1K93aBYcRCpm0vv,"Suite in G Minor, BWV 995: V. Gavotte I - Gavotte II en Rondeau",Johann Sebastian Bach
0,6drW9FOCA07ua7BMRKu8OC,"Partita in B-Flat Major, BWV 825: II. Allemande",Johann Sebastian Bach
3,61W6Cwokpt4Pgpu7dFjZhJ,"Violin Partita No. 3 in E Major, BWV 1006: I. Preludio",Johann Sebastian Bach
0,2kmEX9iqDXHEeivws3y7es,"Flute Sonata in E-Flat Major, BWV 1031: I. Allegro moderato",Johann Sebastian Bach
0,77x6SVWEx0nAfHT0WQ6CjV,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach
69,17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach
0,3CDXlu9ljS2sTs7pf7zmJm,Bach's Christmas Oratorio Cantata No.1 BWV 248,Johann Sebastian Bach
0,2NvKImixDT3eXkg9ChKu3t,Bach's Double Violin Concerto D Minor 3rd M. (Fragments) BWV 1043,Johann Sebastian Bach
0,7M42LF7bfe6kd67FyNRKti,Menuet (from the Notebook for Anna Magdelena Bach) BWV Anh.114 & 115,Johann Sebastian Bach
0,2HOrSgkEogQORv3HZScxeQ,"Notenbüchlein für Anna Magdalena Bach (Arr. for guitar A. Lagoya): 20. March in G major, Anh.124",Johann Sebastian Bach
0,0MBoyelCWAePD8GnTdB7RM,"Notenbüchlein für Anna Magdalena Bach (Arr. for guitar A. Lagoya): 26. Musette in D major, Anh.126",Johann Sebastian Bach
9,3FPAZX7QdiJmc6iefJWZJm,"Jauchzet Gott in allen Landen Cantata, BWV 51 (Additional Instrumentation By W.F. Bach): 1. ""Jauchzet Gott in allen Landen""",Johann Sebastian Bach
0,7lyV8kxKxGKZEhCvxxaZuo,"Concerto in D Minor, BWV 974 - for Harpsichord/Arranged by Bach from: Oboe Concerto in D minor by Alessandro Marcello (1685-1750): 3. Presto",Johann Sebastian Bach
4,5rPPwEFgtMON2DZ5Isf9XN,"Concerto in D Minor, BWV 974 - for Harpsichord/Arranged by Bach from: Oboe Concerto in D minor by Alessandro Marcello (1685-1750): 2. Andante",Johann Sebastian Bach
25,13TCLq22Q4iaJUi31FTlbg,"Invention No. 13 in A Minor, BWV 784 (Arr. Badzura)",Johann Sebastian Bach
25,1JeeqfsR2J77wFRpBxomAo,"Sonata for Flute or Violin No.4 in C, BWV 1033: 1. Andante - Presto",Johann Sebastian Bach
24,7vKCFzyEuKdsGwzGafiYkz,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 3 Canone all'Unisono a 1 Clav.",Johann Sebastian Bach
24,5OmHsVB2OmX8B1tUqRZt1w,"Herr, straf mich nicht in deinem Zorn, BWV 338",Johann Sebastian Bach
23,1jldVvZoANefvyAMFyqXb0,"The Art Of Fugue, BWV 1080 - Version For String Quartet: Contrapunctus 12b",Johann Sebastian Bach
23,4jKzbV7Gw23TQi7NFhVi9W,"In dich hab' ich gehoffet, Herr, BWV 640",Johann Sebastian Bach
