geonames_id,lat-lon,lat,lon
3430234.0,"-34.58856,-58.43053",-34.58856,-58.43053
3429979.0,"-34.41667,-58.83333",-34.41667,-58.83333
3434130.0,"-34.33333,-58.75",-34.33333,-58.75
3436042.0,"-34.83333,-58.16667",-34.83333,-58.16667
3862356.0,"-36.59806,-61.74306",-36.59806,-61.74306
3436397.0,"-34.60926,-58.42006",-34.60926,-58.42006
3430813.0,"-34.49397,-58.51679",-34.49397,-58.51679
3436508.0,"-34.47706,-58.50177",-34.47706,-58.50177
3433955.0,"-34.6,-58.45",-34.6,-58.45
3428983.0,"-34.49009,-58.53028",-34.49009,-58.53028
3427500.0,"-34.45505,-58.54614",-34.45505,-58.54614
3429971.0,"-37.10795,-56.8614",-37.10795,-56.8614
3436048.0,"-34.40887,-58.68596",-34.40887,-58.68596
3436080.0,"-34.46312,-58.53481",-34.46312,-58.53481
3838233.0,"-24.7859,-65.41166",-24.7859,-65.41166
3429594.0,"-29.15,-59.65",-29.15,-59.65
3832791.0,"-31.42414,-64.49778",-31.42414,-64.49778
3436079.0,"-34.34833,-58.79265",-34.34833,-58.79265
3434158.0,"-35.15,-59.08333",-35.15,-59.08333
3429617.0,"-34.6551,-58.55318",-34.6551,-58.55318
3429088.0,"-34.44542,-58.54202",-34.44542,-58.54202
3427354.0,"-34.46326,-58.57464",-34.46326,-58.57464
3836951.0,"-40.15789,-71.35337",-40.15789,-71.35337
3845393.0,"-33.03547,-68.87782",-33.03547,-68.87782
3838609.0,"-35.84786,-63.29276",-35.84786,-63.29276
3427504.0,"-34.52353,-58.47439",-34.52353,-58.47439
3838574.0,"-33.16667,-60.75",-33.16667,-60.75
3436109.0,"-34.58333,-58.4",-34.58333,-58.4
3433359.0,"-34.65803,-58.66317",-34.65803,-58.66317
3430863.0,"-38.00042,-57.5562",-38.00042,-57.5562
3432039.0,"-35,-58",-35.0,-58.0
3430310.0,"-34.50747,-58.48703",-34.50747,-58.48703
3432310.0,"-34.49842,-58.48804",-34.49842,-58.48804
3852288.0,"-40.25,-71.2",-40.25,-71.2
3435907.0,"-36,-60",-36.0,-60.0
3433844.0,"-34.41826,-58.73932",-34.41826,-58.73932
3427753.0,"-34.42058,-58.58279",-34.42058,-58.58279
