geonames_id,lat-lon,lat,lon
3430787.0,"-34.66667,-58.5",-34.66667,-58.5
3432039.0,"-35,-58",-35.0,-58.0
3431333.0,"-34.64286,-58.52386",-34.64286,-58.52386
3435548.0,"-38.0026256,-57.5494468",-38.0026256,-57.5494468
3433657.0,"-33.25,-59",-33.25,-59.0
3430511.0,"-34.53021,-58.52421",-34.53021,-58.52421
3436077.0,"-34.5627,-58.45829",-34.5627,-58.45829
3838574.0,"-33.16667,-60.75",-33.16667,-60.75
3860259.0,"-31.4135,-64.18105",-31.4135,-64.18105
3430813.0,"-34.49397,-58.51679",-34.49397,-58.51679
3430234.0,"-34.58856,-58.43053",-34.58856,-58.43053
3436061.0,"-34.5651,-58.69034",-34.5651,-58.69034
3427753.0,"-34.42058,-58.58279",-34.42058,-58.58279
3832729.0,"-31.03333,-64.48333",-31.03333,-64.48333
3433780.0,"-34.66667,-59",-34.66667,-59.0
3435607.0,"-34.65183,-58.63963",-34.65183,-58.63963
3433918.0,"-34.62997,-58.46329",-34.62997,-58.46329
3429979.0,"-34.41667,-58.83333",-34.41667,-58.83333
3436003.0,"-34.63333,-58.41667",-34.63333,-58.41667
3845202.0,"-31.46467,-64.3584",-31.46467,-64.3584
3435087.0,"-34.45082,-58.79769",-34.45082,-58.79769
3832791.0,"-31.42414,-64.49778",-31.42414,-64.49778
3429760.0,"-34.60944,-58.36186",-34.60944,-58.36186
6693228.0,"-34.61032,-58.39766",-34.61032,-58.39766
3434130.0,"-34.33333,-58.75",-34.33333,-58.75
3428983.0,"-34.49009,-58.53028",-34.49009,-58.53028
3435874.0,"-34.62264,-58.44104",-34.62264,-58.44104
3436508.0,"-34.47706,-58.50177",-34.47706,-58.50177
3430348.0,"-34.54955,-58.46684",-34.54955,-58.46684
3436042.0,"-34.83333,-58.16667",-34.83333,-58.16667
3433359.0,"-34.65803,-58.66317",-34.65803,-58.66317
3430863.0,"-38.00042,-57.5562",-38.00042,-57.5562
3429886.0,"-27.36708,-55.89608",-27.36708,-55.89608
3862356.0,"-36.59806,-61.74306",-36.59806,-61.74306
3429228.0,"-36.69733,-56.68293",-36.69733,-56.68293
3428113.0,"-34.62,-58.37122",-34.62,-58.37122
3436397.0,"-34.60926,-58.42006",-34.60926,-58.42006
3433955.0,"-34.6,-58.45",-34.6,-58.45
3427500.0,"-34.45505,-58.54614",-34.45505,-58.54614
3429971.0,"-37.10795,-56.8614",-37.10795,-56.8614
3436048.0,"-34.40887,-58.68596",-34.40887,-58.68596
3436080.0,"-34.46312,-58.53481",-34.46312,-58.53481
3435351.0,"-32.00382,-58.36319",-32.00382,-58.36319
3430982.0,"-34.58333,-59.16667",-34.58333,-59.16667
3837090.0,"-33,-61",-33.0,-61.0
3435907.0,"-36,-60",-36.0,-60.0
3431273.0,"-34.66484,-58.53196",-34.66484,-58.53196
3839996.0,"-31.16667,-64.66667",-31.16667,-64.66667
3427431.0,"-37.26394,-56.97304",-37.26394,-56.97304
3436152.0,"-34.74572,-58.39192",-34.74572,-58.39192
3433323.0,"-34.53382,-58.5758",-34.53382,-58.5758
3838233.0,"-24.7859,-65.41166",-24.7859,-65.41166
3430310.0,"-34.50747,-58.48703",-34.50747,-58.48703
3836277.0,"-31.64881,-60.70868",-31.64881,-60.70868
3435356.0,"-34.57365,-58.44924",-34.57365,-58.44924
3433977.0,"-34.25,-59.25",-34.25,-59.25
3433910.0,"-34.62784,-58.48087",-34.62784,-58.48087
3856531.0,"-23.16667,-62.9",-23.16667,-62.9
3429651.0,"-34.75,-58.25",-34.75,-58.25
3429594.0,"-29.15,-59.65",-29.15,-59.65
3860360.0,"-38.83333,-68.83333",-38.83333,-68.83333
3855061.0,"-38.5,-67.5",-38.5,-67.5
3436109.0,"-34.58333,-58.4",-34.58333,-58.4
3856226.0,"-31.05855,-60.74581",-31.05855,-60.74581
3436079.0,"-34.34833,-58.79265",-34.34833,-58.79265
3436134.0,"-34.64966,-58.38341",-34.64966,-58.38341
3429316.0,"-34.56382,-58.54297",-34.56382,-58.54297
3427463.0,"-34.58572,-58.57705",-34.58572,-58.57705
3832815.0,"-31.29458,-64.29538",-31.29458,-64.29538
3429418.0,"-34.60052,-58.53008",-34.60052,-58.53008
3434158.0,"-35.15,-59.08333",-35.15,-59.08333
3429617.0,"-34.6551,-58.55318",-34.6551,-58.55318
3836951.0,"-40.15789,-71.35337",-40.15789,-71.35337
3429595.0,"-34.5887,-58.39723",-34.5887,-58.39723
3836276.0,"-31,-61",-31.0,-61.0
3435259.0,"-34.60948,-58.39225",-34.60948,-58.39225
3427458.0,"-34.60001,-58.44735",-34.60001,-58.44735
3435506.0,"-34.58701,-58.4525",-34.58701,-58.4525
3435257.0,"-34.62593,-58.38633",-34.62593,-58.38633
3433775.0,"-34.56667,-58.48333",-34.56667,-58.48333
3832899.0,"-40.81345,-62.99668",-40.81345,-62.99668
3844377.0,"-32.34288,-65.01396",-32.34288,-65.01396
3429902.0,"-34.74785,-58.70072",-34.74785,-58.70072
3429422.0,"-34.54969,-58.48572",-34.54969,-58.48572
3430570.0,"-34.61237,-58.38341",-34.61237,-58.38341
3835793.0,"-31.66274,-60.7653",-31.66274,-60.7653
3430387.0,"-34.64952,-58.41671",-34.64952,-58.41671
3865084.0,"-38.66667,-62.33333",-38.66667,-62.33333
3429088.0,"-34.44542,-58.54202",-34.44542,-58.54202
3427354.0,"-34.46326,-58.57464",-34.46326,-58.57464
3843123.0,"-38.95161,-68.0591",-38.95161,-68.0591
3837856.0,"-41.15,-71.3",-41.15,-71.3
3430115.0,"-34.58574,-58.47868",-34.58574,-58.47868
3427467.0,"-34.54531,-58.55919",-34.54531,-58.55919
3433778.0,"-34.5733,-58.54099",-34.5733,-58.54099
3430087.0,"-34.59542,-58.47156",-34.59542,-58.47156
3436487.0,"-34.5952,-58.48138",-34.5952,-58.48138
3429703.0,"-34.58333,-58.5",-34.58333,-58.5
3435359.0,"-34.56058,-58.47477",-34.56058,-58.47477
3844421.0,"-32.89084,-68.82717",-32.89084,-68.82717
3854993.0,"-32.95,-68.85",-32.95,-68.85
3430550.0,"-34.6349,-58.79059",-34.6349,-58.79059
3428775.0,"-34.6766,-58.56058",-34.6766,-58.56058
3436033.0,"-34.70728,-58.2718",-34.70728,-58.2718
3427407.0,"-34.63814,-58.50273",-34.63814,-58.50273
3850312.0,"-32.32205,-62.88447",-32.32205,-62.88447
3433321.0,"-34.788,-58.37489",-34.788,-58.37489
3845393.0,"-33.03547,-68.87782",-33.03547,-68.87782
3427714.0,"-34.88497,-57.9667",-34.88497,-57.9667
3430861.0,"-36.57531,-56.68883",-36.57531,-56.68883
3856022.0,"-31.4488,-60.93173",-31.4488,-60.93173
3427451.0,"-34.60064,-58.51231",-34.60064,-58.51231
3436004.0,"-34.63413,-58.36298",-34.63413,-58.36298
3838609.0,"-35.84786,-63.29276",-35.84786,-63.29276
3427504.0,"-34.52353,-58.47439",-34.52353,-58.47439
3432310.0,"-34.49842,-58.48804",-34.49842,-58.48804
3431259.0,"-34.85949,-58.38759",-34.85949,-58.38759
3435894.0,"-34.82584,-58.39502",-34.82584,-58.39502
3428075.0,"-34.60379,-58.5461",-34.60379,-58.5461
3430105.0,"-27.31676,-58.57197",-27.31676,-58.57197
3433844.0,"-34.41826,-58.73932",-34.41826,-58.73932
3429153.0,"-34.62212,-58.39766",-34.62212,-58.39766
3833874.0,"-36,-62.66667",-36.0,-62.66667
3431309.0,"-35.25,-59.16667",-35.25,-59.16667
3860163.0,"-37.5,-61.83333",-37.5,-61.83333
3435710.0,"-35.08333,-58.75",-35.08333,-58.75
3833883.0,"-43.24895,-65.30505",-43.24895,-65.30505
3427528.0,"-34.63144,-58.49261",-34.63144,-58.49261
3839479.0,"-31.25033,-61.4867",-31.25033,-61.4867
3839482.0,"-45.92462,-67.55424",-45.92462,-67.55424
3427510.0,"-34.62749,-58.51504",-34.62749,-58.51504
3427455.0,"-34.60057,-58.48871",-34.60057,-58.48871
3430146.0,"-31.66667,-60",-31.66667,-60.0
3430596.0,"-34.61667,-58.5",-34.61667,-58.5
3435379.0,"-34.87459,-58.05774",-34.87459,-58.05774
