popularity,id,name,album,duration_ms,album_release_date,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artista_id,artista_generos,artista_followers,artista_name,time_signature
87,0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,204346,2017-06-23,False,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,53XhwfbYqKCa1cC15pYq2q,"modern rock,rock",27642174,Imagine Dragons,4
86,0tgVpDi06FyKpA1z0VMD4v,Perfect,÷ (Deluxe),263400,2017-03-03,False,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop",65537298,Ed Sheeran,3
73,2kP6fOqdSQ5CYqVH5z5844,Te Encontre,Versatilidad & Vivencias (Deluxe Edition),209960,2017-11-17,False,0.733,0.67,7,-6.734,1,0.0594,0.525,0.0,0.233,0.831,119.955,6HWumjoLO58NYInUHk9565,,44866,El Vega,4
81,5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,340706,2017-05-12,False,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,6KImCVD70vtIoJWnq6nGn3,"pop,post-teen pop",7768887,Harry Styles,4
85,7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),233712,2017-03-03,False,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop",65537298,Ed Sheeran,4
82,2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa (Deluxe),209320,2017-06-02,False,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,6M2wZ9GZgrQXHCFfjv46we,"dance pop,pop,uk pop",17594881,Dua Lipa,4
61,6eiNg8p7GYO7x0GXM4zplv,El Tesoro,La Sintesis O'Konor,271400,2017-06-22,False,0.679,0.754,1,-6.633,0,0.0291,0.0862,0.00382,0.242,0.546,112.872,5rLsN2LxYaEPLa1N7I2mPB,"argentine alternative rock,argentine indie,argentine indie rock,argentine rock,indie platense,latin rock,rock en espanol,rock nacional",182446,El Mató a un Policía Motorizado,4
61,1Pc4HQCKJbvDoCdC0TqR4P,Que Suerte Tiene El,La Vida Al Viento,202453,2017-09-22,False,0.729,0.651,2,-6.341,1,0.0569,0.17,0.0,0.119,0.632,96.004,6ZZ2DeepA3GpoGU4KwqSlU,"argentine telepop,folklore argentino,latin,latin pop",1049096,Luciano Pereyra,4
72,6fatMybX8VmHUpaxVcXzrz,Tu Sicaria,Tu Sicaria,146945,2017-01-04,False,0.752,0.905,0,-7.072,1,0.0515,0.0527,0.000242,0.173,0.689,97.993,43Hr2FjhVehkROIIEb7EfQ,"perreo,rap latina,trap espanol",87331,Ms Nina,4
75,2LIh4uzqq9cXMPzzmcToHl,Lost on You,Lost on You,268105,2017-05-05,False,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,0J7U24vlOOIeMpuaO6Q85A,"la pop,women's music",1667518,LP,4
71,5DoLhdU27owX1NMrKLUbUl,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",260545,2017-03-31,True,0.863,0.669,6,-5.952,0,0.282,0.111,0.0,0.0569,0.947,164.062,6HqgxkTt9KGyt27zYrwVan,"latin,reggaeton,reggaeton flow",166799,Super Yei,4
70,114xlNyBqwTIkOdrU8LajN,"Y, ¿Si Fuera Ella? - + Es +",+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017),250000,2017-12-08,False,0.348,0.536,5,-5.76,1,0.0313,0.34,0.0,0.209,0.199,150.586,5M9Bb4adKAgrOFOhc05Y50,"latin,latin arena pop,latin pop,spanish pop",3147220,Pablo Alborán,4
81,76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa (Deluxe),217946,2017-06-02,True,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,6M2wZ9GZgrQXHCFfjv46we,"dance pop,pop,uk pop",17594881,Dua Lipa,4
58,2ZixSR7OKIpdPUk4dwOekn,Hitazos: Amores Como el Nuestro / Que Fue / Algún día / Tu Amor Me Quema / Arrepiéntete / Tarjetita de Invitación / Empujaito / Si Tu Te Vas / El Aguacero / Tu Juguete / Mujer Que Mal Me Pagas...,Hitazos: Amores Como el Nuestro / Que Fue / Algún día / Tu Amor Me Quema / Arrepiéntete / Tarjetita de Invitación / Empujaito / Si Tu Te Vas / El Aguacero / Tu Juguete / Mujer Que Mal Me Pagas...,1330157,2017-12-26,False,0.519,0.79,7,-4.342,1,0.0503,0.23,3.97e-05,0.212,0.868,97.512,3Mr0TsHv8DUbDBMEFW2L9T,"chamame,cumbia villera",34110,Daniel Cardozo,4
82,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),239000,2017-09-07,False,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,5ZsFI1h6hIdQRw2ti0hz81,"dance pop,electropop,pop,post-teen pop,uk pop",11888307,ZAYN,4
67,0vnrhysrKKRdNYFKLAGzRc,"Loca (feat. Duki, Cazzu)",Loca,246382,2017-11-22,True,0.834,0.753,8,-3.011,1,0.0486,0.342,0.0,0.108,0.462,113.058,4m6ubhNsdwF4psNf3R8kwR,"argentine hip hop,trap argentino",1964118,KHEA,4
76,6Za3190Sbw39BBC77WSS1C,Criminal,Criminal,232549,2017-09-01,False,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,1GDbiv3spRmZ1XdM1jQbT7,"latin,latin pop,rap latina,reggaeton,tropical",4467382,Natti Natasha,4
74,0JcNysfWVWaMS7R6vzGB2k,Robarte un Beso,VIVES,194742,2017-11-10,False,0.742,0.858,10,-4.946,1,0.0483,0.0826,0.0,0.364,0.64,95.049,4vhNDa5ycK0ST968ek7kRr,"champeta,colombian pop,latin,latin pop,tropical,vallenato",3881664,Carlos Vives,4
76,6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,Me Rehúso,205714,2017-06-16,False,0.744,0.804,1,-6.327,1,0.0677,0.0231,0.0,0.0494,0.426,104.823,5H1nN1SzW0qNeUEZvuXjAj,"latin,latin pop,reggaeton,tropical",2338209,Danny Ocean,4
61,1Zv7PhLP7ohXZ2rIrsnT3R,Como Tú,La Vida Al Viento,217760,2017-09-22,False,0.705,0.86,0,-4.684,1,0.0576,0.101,3.01e-05,0.0843,0.952,93.517,6ZZ2DeepA3GpoGU4KwqSlU,"argentine telepop,folklore argentino,latin,latin pop",1049096,Luciano Pereyra,4
78,5kRPPEWFJIMox5qIkQkiz5,Sweet Creature,Harry Styles,224866,2017-05-12,False,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,6KImCVD70vtIoJWnq6nGn3,"pop,post-teen pop",7768887,Harry Styles,4
84,1zB4vmk8tFRmM9UULNzbLB,Thunder,Evolve,187146,2017-06-23,False,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,53XhwfbYqKCa1cC15pYq2q,"modern rock,rock",27642174,Imagine Dragons,4
57,76BnEV7y0FIyDodcCt9sxC,Iluminará,Grandes Éxitos Regrabados,242242,2017-12-29,False,0.641,0.875,7,-4.481,0,0.0391,0.235,0.00188,0.13,0.772,107.944,6pVmT18pd1QaofDegZUEKX,"argentine rock,cumbia villera",353811,La Nueva Luna,4
80,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,The Thrill Of It All (Special Edition),201000,2017-11-03,False,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,2wY79sveU1sp5g7SokKOiI,"pop,uk pop",12894788,Sam Smith,4
83,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,247160,2017-04-07,False,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,69GGBxA162lTqCwzJG5jLp,"dance pop,edm,electropop,pop,tropical house",16264180,The Chainsmokers,4
82,41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,dont smile at me,203569,2017-12-22,False,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop",28134481,Billie Eilish,3
87,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,17,119133,2017-08-25,True,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,15UsOTVnJzReFVN1VCnxy4,"emo rap,miami hip hop",20215038,XXXTENTACION,4
82,3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Illuminate,187973,2017-04-20,False,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,7n2wHs1TKAczGzO7Dd2rGr,"canadian pop,pop,post-teen pop,viral pop",27300091,Shawn Mendes,4
76,33SNO8AaciGbNaQFkxvPrW,Kiwi,Harry Styles,176386,2017-05-12,False,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,6KImCVD70vtIoJWnq6nGn3,"pop,post-teen pop",7768887,Harry Styles,4
72,1WbXIpiGBJkCiv3hn40iPB,Sobredosis (feat. Ozuna),Golden,198332,2017-07-21,False,0.759,0.639,4,-8.085,0,0.0511,0.207,0.0,0.23,0.682,128.01,5lwmRuXgjX8xIwlnauTZIP,"bachata,latin,tropical",10957659,Romeo Santos,4
83,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,dont smile at me,200379,2017-12-22,False,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop",28134481,Billie Eilish,4
74,4B1rpPmQXwj78wk6aIGwwU,Two Ghosts,Harry Styles,229813,2017-05-12,False,0.386,0.407,6,-7.095,0,0.0268,0.234,1.86e-06,0.0999,0.456,69.387,6KImCVD70vtIoJWnq6nGn3,"pop,post-teen pop",7768887,Harry Styles,4
58,3UA8Vjo0hQXGJnoeQF1SOL,Tu Vida Mi Vida,La Ciudad Liberada,252867,2017-11-24,False,0.735,0.543,2,-14.276,0,0.0317,0.134,0.0,0.126,0.549,115.988,1bZNv4q3OxYq7mmnLha7Tu,"argentine rock,latin alternative,latin rock,rock en espanol,rock nacional",848982,Fito Paez,4
81,2mlGPkAx4kwF8Df0GlScsC,Buttercup,Pop Food,208026,2017-03-25,False,0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,1vVHevk2PD45epYnDi9CCc,pittsburgh indie,533307,Jack Stauber,4
80,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Scared to Be Lonely,220883,2017-01-27,False,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,60d24wfXkVzDSfLS6hyCjZ,"big room,edm,pop,progressive house,tropical house",13305669,Martin Garrix,4
54,3JfGUpclRKRkhp4QdqHckz,La Mejor de Todas,La Repandilla,208631,2017-01-02,False,0.718,0.545,0,-7.06,1,0.101,0.402,0.0,0.14,0.96,71.831,4TeM4orWQq9H1Wj2intCub,cumbia villera,178084,La Repandilla,4
54,77LZ92TrNFB8WCYtCaCwsy,Terminales,A Mil,201584,2017-02-20,False,0.564,0.71,5,-6.583,1,0.0463,0.00153,0.0,0.0849,0.817,147.968,4STEdt6oH8RopaxpfWrO5Z,cumbia pop,56634,Cruzando El Charco,4
74,1m69ELEgE6k5ZWsap40ozt,Se Preparó,Odisea,188080,2017-08-25,False,0.739,0.821,1,-4.233,1,0.0852,0.222,9.6e-06,0.311,0.693,171.077,1i8SpTcr7yvPOmcqrbnVXY,"latin,puerto rican pop,reggaeton,trap latino",23269583,Ozuna,4
72,5LVoGJTyG6fLJgoGkY2QAZ,Ahora Dice,Ahora Dice,271080,2017-03-17,False,0.704,0.69,6,-5.451,1,0.16,0.249,0.0,0.123,0.402,144.045,0qTZZWLzuD59Un5r1speHm,"latin,reggaeton,reggaeton flow,trap latino,tropical",1273363,Chris Jeday,4
56,6JtV50W4szsOD04QREQgXk,Soltero Hasta la Tumba,No Es Tan Fácil,193813,2017-10-10,False,0.804,0.686,5,-7.437,0,0.0413,0.0211,0.0,0.142,0.933,105.0,7HSeegdmjLYRJpkOYIaZIW,cumbia pop,96020,El Reja,4
63,0BMXB8USeC2zVufRWBcMuY,Vete,Vete,182183,2017-12-21,False,0.619,0.563,8,-3.414,1,0.0865,0.29,0.0,0.128,0.25,139.653,4m6ubhNsdwF4psNf3R8kwR,"argentine hip hop,trap argentino",1964118,KHEA,4
56,0oTDAJdyXD32cvawlw4Vpd,La Noche Eterna,La Sintesis O'Konor,327739,2017-06-22,False,0.688,0.487,4,-10.38,1,0.0251,0.124,0.17,0.155,0.298,104.986,5rLsN2LxYaEPLa1N7I2mPB,"argentine alternative rock,argentine indie,argentine indie rock,argentine rock,indie platense,latin rock,rock en espanol,rock nacional",182446,El Mató a un Policía Motorizado,4
53,6HxBuCzeutRKZOBb9My8XT,Lo Mejor del Amor (Remasterizado),Lo Mejor del Amor (Remasterizado),242050,2017-10-06,False,0.498,0.914,4,-2.723,0,0.0761,0.169,0.0,0.456,0.483,153.369,235Vf4hkmwvxjVEMuCbRxm,"argentine rock,cuarteto,cumbia pop,cumbia villera,rock en espanol",688018,Rodrigo,4
81,7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Illuminate (Deluxe),199440,2017-04-20,False,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,7n2wHs1TKAczGzO7Dd2rGr,"canadian pop,pop,post-teen pop,viral pop",27300091,Shawn Mendes,4
64,7cIkMEpDhT7Vpw1FHOQqKC,Si ella quisiera,La Promesa,212161,2017-03-10,False,0.77,0.612,9,-7.755,0,0.086,0.0789,0.0,0.153,0.63,90.02,14zUHaJZo1mnYtn6IBRaRP,"latin,reggaeton",1782592,Justin Quiles,4
74,1KSqYYJFyfTecXFk9M0prc,Escápate Conmigo (feat. Ozuna),Victory,232786,2017-12-01,False,0.744,0.859,11,-3.166,1,0.0795,0.0256,6.27e-05,0.0881,0.787,91.977,3E6xrwgnVfYCrCs0ePERDz,"latin,latin hip hop,reggaeton,reggaeton flow,tropical",5579105,Wisin,4
73,5hcisvFMidkMJlElTO9Qmw,Sensualidad,Sensualidad,297485,2017-11-03,False,0.807,0.681,11,-6.268,1,0.0983,0.423,0.0,0.0962,0.676,140.006,4q3ewBCX7sLwd24euuV69X,"latin,reggaeton,trap latino",22467426,Bad Bunny,4
74,4YutJsNwBBInE8vemufpQ8,"Girl Crush - Recorded at Metropolis Studios, London",Spotify Singles,243804,2017-09-27,False,0.468,0.197,4,-11.727,1,0.033,0.658,0.0,0.109,0.249,144.212,6KImCVD70vtIoJWnq6nGn3,"pop,post-teen pop",7768887,Harry Styles,3
72,0Gx4VrHzS7pZOEAGrmXXBH,La Bicicleta,VIVES,229509,2017-11-10,False,0.745,0.944,0,-3.959,1,0.134,0.21,1.48e-06,0.333,0.951,179.991,4vhNDa5ycK0ST968ek7kRr,"champeta,colombian pop,latin,latin pop,tropical,vallenato",3881664,Carlos Vives,4
53,5HgNYJmYucAPD2UpuQfL3t,Perra,Sinfónico 45 Años - En Vivo,251374,2017-12-08,False,0.671,0.615,9,-5.338,0,0.0404,0.484,0.0,0.978,0.736,93.972,2Htm0q72SjGSmsy8EOIhRG,"cumbia pop,cumbia santafesina,cumbia villera",639288,Los Palmeras,4
74,6MiVIH3fQlmz44jGx2DXn4,Love Is a Bitch,Love Is a Bitch,181466,2017-05-19,True,0.532,0.178,9,-9.754,0,0.0541,0.614,0.14,0.0985,0.103,149.879,5sWHDYs0csV6RS48xBl0tH,"indie poptimism,modern rock",981961,Two Feet,3
52,1F9RwlKTE0QJtKN97EWtM8,Infiel,Creo,204303,2017-12-12,False,0.761,0.667,0,-8.445,0,0.0633,0.359,0.0,0.102,0.742,133.828,2UqRkW2wfEkZmyvKyTTv2W,"cuarteto,cumbia pop",1024423,Ulises Bueno,4
54,1tgYWMpHWhhvr0hgOyCZsp,Big Bang,II,293665,2017-05-19,False,0.656,0.872,11,-5.48,0,0.0391,0.0293,0.025,0.113,0.619,114.969,1a1v0OJC5GqtsLwzoqJm7j,"argentine alternative rock,argentine indie,electronica argentina,latin rock,manso indie,pop electronico",111483,Usted Señalemelo,4
81,2RttW7RAu5nOAfq6YFvApB,Happier,÷ (Deluxe),207520,2017-03-03,False,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop",65537298,Ed Sheeran,4
56,1NKwmnPXpm2WaZbiPBcfYY,Si Te Lastimé,Si Te Lastimé,133718,2017-12-06,False,0.742,0.505,6,-5.011,0,0.0958,0.143,0.0,0.118,0.213,140.128,4C29ETLBPmYKYwtJUepbJz,"argentine hip hop,trap argentino,trap latino",581625,Seven Kayne,4
65,7hydwXc3IVJIItIif6ZuLH,Ella,Circo Soledad,198040,2017-04-21,False,0.335,0.763,9,-3.853,1,0.0562,0.0307,0.000106,0.0758,0.403,199.225,0h1zs4CTlU9D2QtgPxptUD,"cantautor,latin,latin arena pop,latin pop,rock en espanol,tropical",5045979,Ricardo Arjona,4
53,0M5Mfyrshmf5I4absaIw3i,Sabado Rbd,Sabado Rbd,234153,2017-03-30,False,0.845,0.806,1,-4.02,0,0.104,0.0453,1.49e-06,0.0617,0.664,100.113,6sPVGPkxslll1c4pdHvxYh,"argentine hip hop,cumbia pop,cumbia villera",80938,DJ Yayo,4
74,1IF5UcqRO42D12vYwceOY6,From the Dining Table,Harry Styles,211960,2017-05-12,False,0.671,0.156,8,-16.288,1,0.0371,0.804,0.0518,0.113,0.201,94.08,6KImCVD70vtIoJWnq6nGn3,"pop,post-teen pop",7768887,Harry Styles,4
59,3AKwyujeGxTQSZNbx9Ka3c,A fuego - Bizarrap Remix,A fuego (Bizarrap Remix),239078,2017-06-23,False,0.759,0.366,5,-10.692,1,0.0459,0.667,0.112,0.0907,0.319,116.008,5pughe5rcsOq3GF0utMOs5,"reggaeton chileno,trap chileno",682658,DrefQuila,4
76,6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),El Dorado,195840,2017-05-26,False,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,0EmeFodog0BfCgMzAIvKQp,"colombian pop,dance pop,latin,latin pop,pop",18939963,Shakira,4
69,3EK4tGkSiO5xvvB5sM4tln,Amárrame,La Trenza,207333,2017-04-28,False,0.563,0.674,5,-4.554,0,0.048,0.247,0.00226,0.107,0.784,179.977,4boI7bJtmB1L3b1cuL75Zr,"latin,latin alternative,latin pop",3083564,Mon Laferte,4
72,0atfY1ew83Ql9nNnJiD2t5,Bonita,Bonita,265746,2017-06-02,False,0.775,0.867,5,-1.582,0,0.0414,0.0132,0.00684,0.278,0.869,96.038,1vyhD5VmyZ7KMfW5gqLgo5,"latin,reggaeton",20559163,J Balvin,4
71,0ERbK7qVqveCaBWIiYCrl3,Bella y Sensual,Golden,204700,2017-07-21,False,0.635,0.713,11,-6.909,1,0.0937,0.228,0.0,0.0506,0.749,179.864,5lwmRuXgjX8xIwlnauTZIP,"bachata,latin,tropical",10957659,Romeo Santos,4
71,7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú,Una Lady Como Tú,213026,2017-04-10,False,0.788,0.477,4,-7.348,1,0.0434,0.549,0.0,0.349,0.86,94.983,0tmwSHipWxN12fsoLcFU3B,"colombian pop,latin,reggaeton,tropical",5691030,Manuel Turizo,4
51,0XP2iVzO84Zk3wTm4vkILZ,Ya Me Enteré,# 1617,189620,2017-07-21,False,0.68,0.905,0,-2.774,0,0.109,0.33,0.0,0.387,0.756,149.972,3ghRXw2nUEH2THaL82hw8R,"cuarteto,cumbia pop",116672,La K'onga,4
65,3mbCqi22KYjndD56qCykyP,La Estrategia,La Estrategia,219228,2017-07-28,False,0.392,0.7,8,-5.838,1,0.282,0.136,0.0,0.082,0.224,165.571,5DUlefCLzVRzNWaNURTFpK,"champeta,colombian pop,electro latino,latin,latin pop,reggaeton,tropical",2512509,Cali Y El Dandee,4
70,2Q85xwXagilpHKTfdrbC7M,La Rompe Corazones,La Rompe Corazones,204520,2017-01-13,False,0.685,0.859,5,-2.595,0,0.0553,0.116,0.0,0.317,0.891,176.018,4VMYDCV2IEDYJArk749S6m,"latin,latin hip hop,reggaeton,tropical",18740411,Daddy Yankee,4
